,matricola,nome,cognome,qualifica,dipartimento,data_assunzione,data_di_nascita,classe_laurea,data_laurea,classe_dottorato,data_dottorato
0,40687,Bianca,Ostinelli,Adaptability and flexibility, Customer Success,2023-03-22 05:38:53,1996-09-22 21:05:08,,,,
1,907145,Vittorio,Priuli,Ability to develop and execute social media strategies, Artificial Intelligence,2023-02-25 22:00:59,1998-04-14 20:56:52,,,,
2,236086,Giosuè,Morandini,Leadership qualities, Training and Development,2022-04-10 09:42:46,1998-10-13 04:08:52,,,,
3,31474,Alessandro,Vezzali,Experience with product lifecycle management, Internal Communications,2021-09-10 03:05:29,2002-02-03 08:07:59,Associate of Business Administration (ABA),2023-04-28 16:39:40,,
4,629799,Gastone,Doglioni,Strong understanding of inventory management principles, Corporate Communications,2017-04-09 10:10:37,2000-02-07 03:25:00,Certificate in Accounting,2023-04-25 00:12:42,Computer Science,2028-01-31 03:25:00.444196
5,493954,Riccardo,Cattaneo,Excellent problem-solving abilities, Data Science,2019-02-26 04:08:24,2001-05-07 18:50:36,,,,
6,638826,Martino,Morucci,Experience with process mapping and workflow analysis, User Experience,2020-12-21 19:08:29,1998-04-01 18:51:38,,,,
7,830446,Mirko,Zabarella,Knowledge of human resources policies and procedures, Research and Development,2023-05-13 11:04:30,1994-06-26 09:12:32,,,,
8,486118,Rosaria,Blasi,Strong understanding of organizational development principles, Product Marketing,2015-12-18 23:45:29,1993-12-04 00:22:45,Master of Engineering (ME),2016-03-23 00:48:32,,
9,377423,Silvio,Beffa,Strong understanding of change control and configuration management, Strategic Partnerships,2017-03-31 00:04:36,1994-03-06 03:58:10,Associate of Fine Arts (AFA),2021-05-06 18:28:32,,
10,665123,Filippo,Filangieri,Knowledge of talent acquisition and recruitment strategies, Data Analytics,2019-03-13 14:16:00,2000-05-27 09:45:58,,,,
11,310096,Gianpietro,Tognazzi,Strong attention to quality and accuracy, Data Science,2016-02-13 18:19:37,1998-12-29 14:39:36,Associate of Social Work (ASW),2019-10-16 15:05:24,,
12,143723,Amico,Ceri,Strong understanding of data governance and data quality management, Talent Acquisition,2017-11-24 04:52:07,2001-12-06 04:42:27,Certificate in Digital Marketing,2022-02-15 03:39:08,Biology,2029-11-29 04:42:27.499684
13,369098,Ida,Trotta,Ability to work in a fast-paced environment, Strategic Planning,2019-02-02 01:15:21,1995-02-08 06:22:13,,,,
14,938065,Fiorenzo,Gravina,Bachelor's degree in a relevant field, Sales Operations,2019-11-26 16:48:29,1999-12-28 16:16:34,Diploma in Business Administration,2023-03-24 14:12:13,,
15,129652,Fabrizio,Capecchi,Adaptability and flexibility, Marketing,2019-06-06 21:32:15,1998-01-19 18:46:21,,,,
16,766839,Maria,Treves,Strong research and information-gathering skills, IT,2020-03-05 21:40:05,2000-06-08 02:41:42,Master of Social Work (MSW),2023-01-06 07:32:27,,
17,242754,Beppe,Tomaselli,Knowledge of agile software development methodologies, Customer Success,2017-12-30 16:42:24,1999-03-06 22:47:30,,,,
18,169011,Martina,Moretti,Experience with supply chain optimization and logistics, Graphic Design,2018-12-04 08:46:19,1999-09-18 04:32:10,,,,
19,784608,Piero,Toninelli,Ability to interpret and analyze financial statements, Branding and Advertising,2015-03-31 17:16:19,1996-05-03 04:31:55,,,,
20,151610,Alphons,Pisano,Leadership qualities, Market Research,2017-05-23 17:46:14,1995-03-05 02:40:33,,,,
21,733559,Benvenuto,Staglieno,Strong project coordination and scheduling skills, Network Operations,2019-12-01 06:24:43,1997-07-17 20:38:22,,,,
22,928177,Sante,Luna,"Knowledge of sustainability reporting frameworks (e.g., GRI)", Information Security,2021-11-26 09:14:59,1999-11-29 16:04:51,,,,
23,873460,Ugo,Pertile,Strong organizational and time management skills, Sales Operations,2020-02-22 09:30:03,1996-07-14 20:55:48,,,,
24,334185,Giovanna,Contrafatto,Excellent customer service skills, Logistics,2017-12-05 07:40:42,1995-01-18 16:00:26,Associate of Social Work (ASW),2022-07-27 11:06:04,,
25,710409,Geronimo,Tartaglia,Ability to conduct market segmentation and targeting, Intellectual Property,2018-08-10 20:15:21,1996-07-23 13:11:45,,,,
26,444124,Loretta,Sraffa,Ability to interpret and analyze financial statements, Operations,2016-08-18 18:48:56,1996-01-20 11:36:24,,,,
27,964404,Luigina,Bianchini,Ability to interpret and analyze financial statements, Engineering Design,2019-10-24 07:02:49,1997-05-12 11:49:31,Certificate in Automotive Technology,2020-09-15 23:25:37,Communication Studies,2025-05-05 11:49:31.779432
28,237638,Laura,Civaschi,Experience with budget management, Research and Development,2023-05-15 05:47:46,1998-06-23 14:10:20,,,,
29,130240,Emilio,Maspero,Ability to meet deadlines, Information Security,2018-05-07 21:46:05,2002-01-11 06:27:15,,,,
30,315104,Fulvio,Battelli,Creative thinking and innovation, Software Testing,2019-06-29 12:42:24,1994-03-22 18:01:48,Certificate in Culinary Arts,2017-10-11 01:57:17,,
31,234669,Francesco,Conte,Knowledge of social media platforms and marketing techniques, Inventory Management,2023-04-27 14:32:22,1996-08-01 11:13:44,Master of Arts (MA),2019-03-12 00:47:22,,
32,14683,Sylvia,Curiel,Ability to develop and deliver effective presentations, Compliance,2017-09-20 00:48:26,1999-02-17 21:09:01,Certificate in Graphic Design,2023-03-27 23:10:03,,
33,81234,Gioffre,Farinelli,Knowledge of regulatory compliance and reporting, Sales Enablement,2015-09-10 11:10:40,1994-01-19 19:18:00,,,,
34,820656,Pietro,Cuda,Strong understanding of organizational development principles, Network Operations,2015-05-08 23:57:27,1999-05-25 16:34:22,Diploma in Fashion Design,2020-09-09 23:14:38,,
35,942231,Guglielmo,Morgagni,Ability to manage and resolve conflicts, Supplier Relations,2023-06-26 07:04:34,1994-11-30 10:52:25,,,,
36,817189,Dino,Garrone,Knowledge of employee performance evaluation techniques, Strategic Partnerships,2020-06-09 23:36:58,1994-07-20 14:56:58,,,,
37,709581,Mariana,Lollobrigida,Proficient in Microsoft Office Suite, IT,2016-03-26 08:34:29,2000-06-12 09:14:10,,,,
38,549045,Ansaldo,Palumbo,Analytical and critical thinking skills, Market Expansion,2016-04-29 09:23:55,1993-12-12 06:17:08,,,,
39,985361,Clelia,Monti,Excellent problem-solving abilities, Facilities Planning,2016-11-15 20:58:43,1997-07-19 05:18:58,,,,
40,715250,Isa,Juvara,Strong understanding of data governance principles, Market Expansion,2016-07-24 16:10:02,2002-11-14 13:52:01,Diploma in Hospitality Management,2023-01-20 01:28:59,,
41,696252,Gianmarco,Chiappetta,Ability to develop and implement diversity and inclusion initiatives, Corporate Training,2018-10-31 23:26:54,1999-01-06 05:31:21,Bachelor of Social Work (BSW),2020-09-16 08:07:06,,
42,855593,Giuliana,Lollobrigida,Analytical and critical thinking skills, Inventory Management,2019-05-27 02:39:19,1994-01-23 16:41:37,Master of Architecture (MArch),2022-01-01 00:26:57,Education,2023-05-21 20:36:35.000000
43,723679,Temistocle,Ossani,Ability to work in a fast-paced environment, Training and Development,2020-10-07 16:51:59,1999-03-22 22:17:14,Master of Engineering (ME),2021-07-22 12:09:35,,
44,693822,Nadia,Pizziol,Leadership qualities, Talent Acquisition,2019-07-13 16:41:59,2002-06-12 00:46:02,Associate of Education (AEd),2023-02-05 16:24:29,,
45,600819,Guido,Panatta,Experience with budget management, Market Forecasting,2018-06-11 23:07:17,1997-12-17 03:11:43,Master of Nursing (MN),2018-12-12 13:17:00,,
46,669647,Gianmarco,Giovine,Strong financial analysis and forecasting skills, Project Management,2020-06-19 19:07:26,1993-12-24 03:49:37,Associate of Education (AEd),2021-02-18 03:13:44,,
47,612920,Germana,Balotelli,Experience with process mapping and workflow analysis, Warehouse and Distribution,2023-06-25 21:43:04,1996-05-17 11:08:17,,,,
48,184617,Fabia,Ficino,Strong financial analysis and forecasting skills, Engineering Design,2017-06-13 12:51:16,1997-12-19 19:51:38,Master of Computer Science (MCS),2023-02-25 00:29:57,,
49,462984,Luciano,Fattori,Strong negotiation and conflict resolution skills, Data Analytics,2019-11-03 09:47:05,2001-04-03 17:29:26,,,,
50,986194,Milena,Federico,Experience with budget management, Sales Operations,2022-03-03 04:55:58,1994-08-19 12:49:50,,,,
51,765023,Roberto,Omma,Experience with process improvement and optimization, Data Science,2023-01-24 01:31:58,2001-10-07 12:49:38,Diploma in Hospitality Management,2022-09-08 18:16:01,,
52,900233,Angelina,Cheda,Ability to interpret and analyze financial statements, Sales,2023-01-10 17:45:35,1997-09-21 05:31:14,,,,
