,matricola,nome,cognome,qualifica,dipartimento,data_assunzione,data_di_nascita,classe_laurea,data_laurea,classe_dottorato,data_dottorato
0,162297,Camillo,Rocca,Strong written and verbal communication skills, Training and Education,2022-12-05 15:11:24,2002-09-01 02:49:53,Certificate in Human Resources Management,2022-10-07 20:56:27,,
1,789676,Rembrandt,Ferrabosco,Ability to manage and resolve conflicts, Cybersecurity,2021-06-01 18:13:23,1995-01-09 01:29:57,Doctor of Pharmacy (PharmD),2015-07-24 20:58:56,,
2,103256,Lucio,Casadei,Knowledge of financial modeling and forecasting techniques, Training and Education,2015-02-25 22:01:58,2002-04-26 01:53:29,Certificate in Medical Assisting,2022-07-09 17:05:20,,
3,645043,Michela,Santorio,Knowledge of talent acquisition and recruitment strategies, Cybersecurity,2022-07-10 22:31:55,1998-05-27 06:52:51,Diploma in Hospitality Management,2023-07-30 03:07:31,,
4,373092,Fabrizia,Mascagni,Knowledge of industry-specific software or tools, Quality Assurance,2017-08-06 18:52:09,2002-10-14 05:06:42,Certificate in Accounting,2023-07-01 02:10:36,,
5,755252,Angelo,Sabbatini,Strong research and information-gathering skills, Learning and Development,2023-03-25 03:22:48,1995-09-29 03:43:46,,,,
6,407843,Eleanora,Gagliardi,Knowledge of talent acquisition and recruitment strategies, Inventory Management,2022-12-09 08:48:50,1996-04-28 01:10:10,,,,
7,491416,Gioele,Letta,Experience with content management systems (CMS), Cybersecurity,2015-01-01 13:13:36,2001-01-30 12:51:57,Associate of Science (AS),2022-10-21 05:37:50,Chemistry,2029-01-23 12:51:57.514285
8,933556,Riccardo,Albertini,Knowledge of talent acquisition and recruitment strategies, Vendor Management,2021-05-15 21:24:07,1997-07-02 12:48:03,Doctor of Medicine (MD),2018-09-25 07:37:34,,
9,661909,Pina,Zetticci,Ability to develop and implement strategic plans, Cybersecurity,2018-11-03 04:48:25,1998-06-19 17:46:06,,,,
10,841189,Pierangelo,Grassi,Knowledge of intellectual property laws and regulations, Corporate Development,2020-04-05 20:07:41,2002-01-09 00:44:29,,,,
11,447215,Guarino,Greco,Bachelor's degree in a relevant field, Cybersecurity,2020-12-10 18:20:14,1995-09-13 21:15:05,,,,
